user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,year,month,expense_income_diff,savings_delay_ratio,debt_duress
1675,3507.29,2661.4,0.26,3493.12,1,739.0,0.4,650.88,220.05,7,1405.48,74,0,248.39,2825.21,2,1009.85,6,1,11.2,Medium,845.89,0,2020,2,0.7588194874105079,2647.23,0.1855791793664054
1750,2098.58,4614.09,0.16,2896.61,1,620.0,0.29,655.47,284.89,1,1381.6,58,0,494.7,1332.65,2,868.9,0,2,94.2,Medium,0.0,0,2020,3,2.1986724356469614,2896.61,0.3123397726081446
1222,3677.65,3489.82,0.3,2068.33,1,631.0,0.13,511.94,347.32,7,1729.56,66,1,362.3,2576.38,1,1284.68,3,0,50.0,Medium,187.83,0,2020,4,0.9489266243389121,1880.5,0.13920302367000667
1050,1884.19,2764.11,0.29,3904.13,1,676.0,0.41,550.79,394.33,6,1692.29,59,0,633.22,2517.59,1,1187.56,0,2,68.6,Medium,0.0,0,2020,5,1.4670017354937666,3904.13,0.2923218995961129
1234,3697.31,3523.56,0.17,3122.47,1,743.0,0.52,351.55,247.39,6,493.09,62,0,516.89,2177.0,2,919.0,0,0,90.6,High,173.75,0,2020,6,0.9530063749049985,2948.72,0.09508264116344045
1447,4726.33,3948.38,0.14,2539.69,1,691.0,0.48,369.67,409.83,7,1320.35,96,0,478.5,1850.42,2,929.73,8,0,73.7,High,777.95,0,2020,7,0.8354008289730087,1761.74,0.07821502095706394
1347,2911.22,1886.67,0.17,2330.65,1,631.0,0.52,448.13,112.31,7,1431.26,35,0,755.99,1737.44,2,1501.13,6,1,43.5,Medium,1024.55,0,2020,8,0.6480685073611752,1306.1000000000001,0.15393202849664403
1918,3972.53,2793.73,0.22,2700.51,1,759.0,0.44,469.72,955.5,7,1359.6,82,0,563.8,2305.04,1,1187.25,5,1,79.7,Medium,1178.8,0,2020,9,0.7032621528345915,1521.7100000000003,0.11824202712125523
1879,5136.85,2474.84,0.28,2837.11,0,694.0,0.25,428.59,529.61,7,1045.61,64,0,435.07,2900.43,2,943.32,4,1,81.4,Low,2662.01,0,2020,10,0.4817816366060913,175.0999999999999,0.08343440045942552
1057,4124.22,2712.7,0.26,3029.37,1,706.0,0.21,308.5,258.74,5,615.45,94,0,643.02,1682.26,2,839.09,9,1,78.3,Low,1411.52,0,2020,11,0.657748616708129,1617.85,0.07480202317044192
1129,4622.48,2219.51,0.18,2541.05,1,661.0,0.46,318.48,591.38,3,2306.84,27,0,260.55,1651.01,2,903.63,3,0,64.1,Medium,2402.97,0,2020,12,0.480155674010488,138.08000000000038,0.06889808068396186
1680,4859.63,2830.71,0.4,2665.05,1,609.0,0.32,787.17,459.74,2,768.35,31,0,186.89,1921.24,2,1611.29,4,2,39.8,Medium,2028.92,0,2021,1,0.5824949636083405,636.1300000000001,0.1619814677249091
1621,5414.37,3328.5,0.1,2707.47,0,665.0,0.56,540.72,512.29,5,1233.88,41,0,468.01,2460.65,2,964.77,8,2,47.7,High,2085.87,0,2021,2,0.6147529629485979,621.5999999999999,0.09986757462087002
1998,6042.51,2246.36,0.05,2185.71,0,620.0,0.5,419.3,579.51,5,1513.09,22,0,383.93,1975.73,2,423.02,0,2,27.9,High,3796.15,1,2021,3,0.37175941785781075,-1610.44,0.06939169318710271
1058,4422.94,2989.14,0.32,2506.2,1,662.0,0.38,440.32,326.25,9,322.35,90,0,809.16,1000.0,2,1618.9,3,0,27.3,High,1433.8,0,2021,4,0.6758264864547111,1072.3999999999999,0.09955369053163733
1334,4012.76,2193.69,0.3,3328.25,1,617.0,0.53,720.24,0.0,6,1168.02,96,0,183.69,1375.03,0,489.72,2,0,65.4,Medium,1819.07,0,2021,5,0.5466785952810534,1509.18,0.17948743508208814
1256,3163.61,4000.56,0.22,2749.02,2,619.0,0.29,377.91,686.52,6,1411.56,96,0,220.76,2389.84,2,1197.82,2,0,89.5,Medium,0.0,0,2021,6,1.2645553655475863,2749.02,0.1194553058057093
1421,2980.36,2083.75,0.15,3026.26,2,690.0,0.23,365.45,213.49,6,453.89,78,0,96.31,2709.84,2,1127.79,7,2,84.0,Low,896.61,0,2021,7,0.6991605041001758,2129.65,0.12261941510421559
1456,3515.99,3276.12,0.06,3289.32,0,633.0,0.12,479.01,353.98,8,347.98,38,0,482.87,2536.01,2,1042.06,3,2,98.8,Medium,239.87,0,2021,8,0.931777394133658,3049.4500000000003,0.13623758884410936
1974,3855.03,2510.28,0.4,3054.35,1,736.0,0.52,247.74,223.91,9,497.88,22,0,352.05,2030.87,0,994.3,5,2,80.7,Medium,1344.75,0,2021,9,0.6511700298052155,1709.6,0.06426409133002856
1730,3725.58,3430.91,0.08,2739.51,1,771.0,0.43,588.68,736.18,9,890.21,70,0,0.0,1675.65,2,834.94,4,2,88.5,High,294.67,0,2021,10,0.920906274996108,2444.84,0.1580102963833819
1340,5423.61,3424.74,0.39,2646.35,2,718.0,0.2,330.56,610.25,4,735.81,86,0,546.81,2287.09,2,1768.19,3,2,62.6,Medium,1998.87,0,2021,11,0.6314502702074817,647.48,0.06094833514946687
1794,5273.97,2583.11,0.16,3373.36,2,602.0,0.44,426.18,621.56,7,898.01,71,0,547.92,2573.98,2,1370.0,8,2,72.8,Medium,2690.86,0,2021,12,0.48978473521844074,682.5,0.08080819572352516
1776,4276.99,2785.21,0.31,3381.24,0,731.0,0.22,480.68,282.26,7,2344.53,29,0,482.68,2102.28,0,866.95,1,2,46.9,Low,1491.78,0,2022,1,0.6512079757025385,1889.4599999999998,0.11238745005249019
1173,4781.39,3279.82,0.29,2503.33,2,691.0,0.36,742.09,0.0,7,0.0,62,0,119.8,2368.1,2,1530.57,9,2,22.2,High,1501.57,0,2022,2,0.6859553393469263,1001.76,0.15520382148287423
1482,4457.69,3522.27,0.3,2887.95,1,632.0,0.13,390.65,0.0,3,1154.66,35,0,469.88,2333.02,2,1607.09,2,1,51.5,Medium,935.42,0,2022,3,0.7901558879150412,1952.5299999999997,0.0876350755660443
1913,3782.73,2241.48,0.16,3606.0,1,689.0,0.5,564.04,278.85,9,790.98,25,0,260.49,2092.8,2,1181.67,7,0,4.2,Medium,1541.25,0,2022,4,0.5925561697504184,2064.75,0.1491092412093911
1529,3933.49,4154.43,0.37,3058.63,1,635.0,0.13,880.34,552.72,3,210.08,52,0,598.5,3256.12,2,1213.39,8,0,98.0,Medium,0.0,0,2022,5,1.056168949202871,3058.63,0.22380633991696944
1737,4047.29,2359.97,0.07,3092.41,1,599.0,0.4,602.42,342.41,3,857.38,21,0,662.09,1979.19,2,969.63,7,1,77.9,Medium,1687.32,0,2022,6,0.5830988142683128,1405.09,0.1488452767160248
1205,4076.19,3117.55,0.32,2422.02,1,728.0,0.59,358.86,160.08,5,471.82,70,0,482.28,2970.22,2,519.17,1,0,4.2,High,958.64,0,2022,7,0.7648195986938784,1463.38,0.08803809439697365
1756,4155.26,3157.23,0.17,2270.44,1,720.0,0.27,743.05,245.03,2,1347.98,27,0,697.79,2778.93,2,1396.85,5,2,11.9,Medium,998.03,0,2022,8,0.7598152702839293,1272.41,0.1788215418529767
1957,1900.97,3577.86,0.4,3450.97,2,744.0,0.31,548.82,237.28,9,1398.07,35,0,719.91,2969.82,2,1418.73,1,2,5.2,Medium,0.0,0,2022,9,1.882123337033199,3450.97,0.2887052399564433
1983,2402.19,2901.92,0.06,2919.87,1,705.0,0.18,686.61,461.51,6,1569.13,54,0,702.66,2610.4,2,1762.45,5,2,39.9,Medium,0.0,0,2022,10,1.2080310050412333,2919.87,0.28582668315162413
1206,3764.31,2918.07,0.22,2831.01,1,662.0,0.44,671.29,0.0,4,789.59,96,0,619.13,2275.19,2,1127.83,3,2,66.0,Medium,846.24,0,2022,11,0.7751938602293648,1984.7700000000002,0.17833015878075928
1983,3549.62,2797.15,0.07,2304.84,1,690.0,0.16,639.79,313.85,7,713.24,94,0,722.47,2522.92,2,906.81,5,2,71.6,Medium,752.47,0,2022,12,0.7880139282514749,1552.3700000000001,0.1802418287027907
1984,4722.51,3075.01,0.34,2922.43,1,655.0,0.33,632.85,130.94,3,662.47,82,0,738.87,1951.17,2,936.35,4,2,32.4,Medium,1647.5,0,2023,1,0.6511389070642518,1274.9299999999998,0.13400712756563776
1368,3393.56,3409.64,0.4,3043.73,1,614.0,0.19,415.4,249.76,4,1264.6,96,0,626.21,3048.68,1,920.01,1,1,41.1,Medium,0.0,0,2023,2,1.0047383868268132,3043.73,0.12240832635933944
1443,4264.95,1818.65,0.09,2964.82,1,561.0,0.27,153.88,30.37,8,1429.66,35,0,466.6,3184.95,2,1485.3,2,0,27.8,Medium,2446.3,0,2023,3,0.4264176602304834,518.52,0.036080141619479714
1506,3170.26,2214.21,0.36,2228.47,2,661.0,0.28,306.82,466.11,2,1084.61,40,0,925.74,2129.03,2,1027.2,9,0,67.7,Medium,956.05,0,2023,4,0.6984316743737107,1272.4199999999998,0.09678070568344552
1942,4573.38,3768.84,0.27,2182.29,1,749.0,0.55,146.4,464.62,5,1591.2,86,0,293.81,1930.96,2,686.66,1,1,54.3,High,804.54,0,2023,5,0.8240819700090524,1377.75,0.03201133516130302
1353,2800.92,1663.92,0.24,2369.23,1,657.0,0.17,125.73,553.6,4,1420.61,82,0,487.92,2253.56,0,1787.83,1,2,23.0,Low,1137.0,0,2023,6,0.5940619510732188,1232.23,0.04488882224411979
1477,5578.55,2600.71,0.06,1942.39,2,700.0,0.45,262.58,813.12,3,1379.9,74,0,473.79,2580.57,0,1051.48,4,0,53.8,High,2977.84,1,2023,7,0.4661982056269102,-1035.45,0.047069579012467395
1657,4078.42,2546.59,0.33,2892.13,2,630.0,0.37,589.78,690.28,8,1376.49,22,0,784.24,1158.34,2,1571.24,3,2,6.3,Medium,1531.83,0,2023,8,0.624406019978325,1360.3000000000002,0.14460992246997612
1275,4116.03,2919.91,0.14,2697.48,1,688.0,0.53,485.74,386.86,9,897.14,76,0,228.4,2745.38,2,916.7,4,2,64.1,High,1196.12,0,2023,9,0.7093995913538045,1501.3600000000001,0.11801177348075695
1908,4268.09,2534.99,0.13,1820.82,2,750.0,0.5,470.08,499.18,3,928.08,80,0,430.83,2556.3,0,1076.83,9,2,76.0,High,1733.1,0,2023,10,0.5939401465292437,87.72000000000003,0.11013825856530672
1585,5466.77,3518.15,0.15,3075.67,1,675.0,0.33,300.01,419.52,8,872.66,29,0,555.2,2010.92,2,1257.5,1,2,87.6,High,1948.62,0,2023,11,0.643551859690457,1127.0500000000002,0.05487884070484033
1177,3593.89,3401.82,0.25,2155.52,1,619.0,0.13,725.61,698.79,7,1860.17,96,0,348.61,3220.52,2,862.47,5,2,68.3,Medium,192.07,0,2019,1,0.9465565167548257,1963.45,0.20190100420435797
1900,5216.32,3003.14,0.25,3287.03,1,695.0,0.25,322.61,207.54,4,429.86,25,0,152.69,1446.48,1,1084.08,2,0,77.3,Medium,2213.18,0,2019,1,0.5757200478498252,1073.8500000000004,0.061846282436660335
1213,3997.43,2243.56,0.16,2257.94,1,683.0,0.45,399.33,705.24,2,466.72,32,0,776.76,2170.57,2,2614.62,1,1,37.1,Medium,1753.87,0,2019,3,0.5612506035127569,504.07000000000016,0.09989668361922535
1855,4838.69,4392.42,0.26,3274.63,2,645.0,0.5,723.09,919.03,7,1226.78,87,0,470.58,1931.79,2,936.57,3,2,23.8,High,446.27,0,2019,4,0.9077704915999992,2828.36,0.14943920771944474
1094,3613.29,1069.2,0.25,3365.82,2,649.0,0.48,516.49,465.08,8,609.45,93,0,226.87,3212.17,0,485.97,3,1,99.4,Medium,2544.09,0,2019,5,0.2959076077480634,821.73,0.1429417511464621
1900,4055.69,4699.43,0.16,1905.94,1,764.0,0.41,262.43,483.13,6,354.31,24,0,342.8,1307.91,1,860.13,8,1,38.0,High,0.0,0,2019,5,1.1587251491114952,1905.94,0.06470662205444697
1483,4533.65,3390.89,0.16,2109.21,1,658.0,0.27,568.54,122.02,7,1332.26,84,0,870.45,3362.31,1,2114.22,6,1,25.8,Medium,1142.76,0,2019,6,0.7479381954936971,966.45,0.1254044754226727
1512,5532.8,810.91,0.32,2731.72,0,691.0,0.14,416.89,228.69,9,1635.48,59,0,545.09,2136.32,1,1562.54,6,2,45.2,Low,4721.89,1,2019,7,0.14656412666281085,-1990.1700000000005,0.07534882880277617
1458,5295.24,1740.05,0.11,3118.97,1,726.0,0.16,525.73,356.75,8,1003.08,24,0,811.35,1293.6,0,1000.74,8,2,72.3,Medium,3555.19,1,2019,8,0.3286064465444437,-436.22000000000025,0.09928350745197574
1038,3705.56,2972.45,0.18,2874.56,1,692.0,0.11,686.14,0.0,4,1420.62,77,0,47.46,1052.47,2,1347.05,3,0,97.4,Medium,733.11,0,2019,9,0.8021594576798109,2141.45,0.18516499530435346
1595,4521.79,3131.93,0.37,3025.06,1,645.0,0.41,280.93,303.34,1,1013.99,90,0,187.14,1731.05,2,368.58,2,0,62.2,Medium,1389.86,0,2019,10,0.6926305732906658,1635.2,0.062128051059425586
1205,3629.51,3352.63,0.06,2658.66,1,727.0,0.39,4.73,495.41,7,1294.54,23,0,532.19,2227.09,2,1465.63,1,1,73.8,High,276.88,0,2019,11,0.9237142203768552,2381.7799999999997,0.0013032062179192234
1511,2586.17,2534.03,0.09,2409.44,0,613.0,0.56,604.13,979.88,7,185.58,34,0,679.0,2078.09,2,1681.8,4,2,50.3,High,52.14,0,2019,12,0.9798389123684832,2357.3,0.23360026603046202
1084,3677.05,2276.04,0.17,3074.08,1,753.0,0.57,366.83,601.09,9,834.09,36,0,146.24,2715.84,2,1441.28,3,2,74.5,Medium,1401.01,0,2020,1,0.618985327912321,1673.07,0.09976203750288953
1799,3285.42,2691.73,0.21,2966.68,2,714.0,0.47,706.65,406.24,7,195.09,76,0,586.33,1361.88,2,1121.37,2,2,33.8,High,593.69,0,2020,2,0.8192955542974718,2372.99,0.21508665558741347
1866,3814.84,2020.61,0.14,2757.38,2,670.0,0.18,367.81,666.47,8,1872.93,37,0,537.93,2462.69,0,465.23,4,2,96.9,Medium,1794.23,0,2020,3,0.5296709691625336,963.1500000000001,0.09641557706220968
1949,2282.15,1808.42,0.08,2036.74,1,612.0,0.43,573.76,489.73,5,486.95,93,0,438.09,2490.75,2,928.5,6,2,55.7,Medium,473.73,0,2020,4,0.7924194290471704,1563.01,0.251412045658699
1730,4003.62,4254.45,0.17,2560.16,1,628.0,0.46,660.45,767.32,1,794.26,57,0,525.02,1000.0,2,1609.61,5,2,71.8,High,0.0,0,2020,5,1.0626508010250724,2560.16,0.1649632082964917
1355,4169.75,3064.38,0.39,3289.28,1,658.0,0.24,633.69,759.34,8,1040.06,60,0,384.05,3045.44,2,1556.05,5,2,46.4,Medium,1105.37,0,2020,6,0.734907368547275,2183.9100000000003,0.15197313987649141
1166,4154.59,3070.33,0.37,3168.63,0,682.0,0.35,634.79,475.69,9,723.56,53,0,563.52,2297.94,1,2222.8,6,2,93.6,Medium,1084.26,0,2020,7,0.7390211789851706,2084.37,0.15279245364765234
1694,5530.99,996.21,0.26,1673.99,0,668.0,0.1,563.79,597.11,6,1304.41,50,0,437.43,1887.29,2,1249.45,9,1,69.7,Low,4534.78,1,2020,8,0.18011422909822655,-2860.79,0.10193292701668237
1230,2249.0,4408.99,0.1,3479.97,0,681.0,0.35,832.77,312.28,4,1475.67,73,0,226.64,1547.2,2,1380.6,6,2,9.6,High,0.0,0,2020,9,1.960422409959982,3479.97,0.37028457092040906
1306,4108.07,2591.19,0.2,3900.31,2,668.0,0.1,298.17,41.32,2,669.87,76,0,400.19,2157.76,2,1484.8,8,2,28.8,Low,1516.88,0,2020,10,0.6307560484607128,2383.43,0.07258152855233724
1856,3281.77,2937.27,0.09,2975.45,1,621.0,0.22,91.88,625.54,6,1642.86,89,0,579.78,2982.26,2,1094.01,0,2,40.7,Medium,344.5,0,2020,11,0.8950261596638399,2630.95,0.02799708693784147
1310,3642.2,1872.49,0.25,1972.05,1,721.0,0.16,782.47,423.27,2,1139.84,50,0,408.48,2303.32,2,1540.2,5,1,4.5,Medium,1769.71,0,2020,12,0.5141096040854429,202.33999999999992,0.21483444072264019
1332,3463.41,3271.94,0.08,2743.33,1,604.0,0.16,415.25,396.61,5,1464.46,45,0,221.86,1895.09,2,1585.15,4,1,91.8,Medium,191.47,0,2021,1,0.9447163344796026,2551.86,0.119896287185173
1071,4599.21,3564.07,0.3,3528.02,0,657.0,0.37,385.63,736.26,6,503.96,21,0,606.22,2307.27,2,1451.61,9,2,61.4,Medium,1035.14,0,2021,2,0.7749309120479387,2492.88,0.08384700850798289
1371,3375.82,2627.31,0.07,3402.61,1,661.0,0.23,885.3,580.03,2,532.31,87,1,459.21,2665.28,2,1306.39,5,0,23.5,Medium,748.51,0,2021,3,0.7782731306763986,2654.1000000000004,0.26224739470706376
1938,4023.87,1360.32,0.17,3357.66,2,740.0,0.21,470.65,0.0,7,2018.03,77,0,830.19,2651.21,2,851.6,4,2,87.0,Low,2663.55,0,2021,4,0.3380626113666694,694.1099999999997,0.11696451426114661
1260,4976.02,3902.74,0.27,2370.54,1,535.0,0.43,1151.87,318.52,5,592.64,58,0,346.96,2214.83,2,815.3,5,2,93.5,High,1073.28,0,2021,5,0.7843095485950619,1297.26,0.23148419821463737
1277,3874.19,2673.9,0.06,3160.19,0,709.0,0.42,359.9,0.0,9,192.49,21,0,826.7,2111.3,2,1239.34,9,2,22.5,Medium,1200.29,0,2021,6,0.690182980184245,1959.9,0.09289683779060913
1446,3539.63,1192.31,0.07,2554.84,1,731.0,0.4,680.77,130.48,3,303.31,91,0,641.53,1446.19,0,1269.19,8,0,34.0,Medium,2347.32,0,2021,7,0.3368459415249616,207.51999999999998,0.1923280116848371
1917,2832.28,4716.8,0.39,2712.04,1,648.0,0.23,346.02,479.85,1,1165.48,68,0,390.53,2336.89,2,1179.15,5,0,63.3,Medium,0.0,0,2021,8,1.665372067733416,2712.04,0.12217012442272655
1209,3456.66,2910.41,0.3,3457.95,1,611.0,0.48,492.74,222.84,7,592.01,68,0,429.48,2045.01,2,670.0,3,1,10.7,Medium,546.25,0,2021,9,0.841971729935834,2911.7,0.14254800877147306
1896,2954.93,5011.59,0.19,3533.22,0,696.0,0.35,324.05,608.22,1,959.69,69,0,516.68,2701.17,2,1902.67,7,1,1.0,High,0.0,0,2021,10,1.696009719350374,3533.22,0.10966418832256603
1335,4374.48,4704.11,0.2,2581.05,1,666.0,0.28,791.63,275.37,9,543.07,51,0,163.42,2079.27,0,1375.16,0,2,48.0,Medium,0.0,0,2021,11,1.0753529562370843,2581.05,0.1809655090433606
1604,3185.98,1721.25,0.15,2148.24,1,613.0,0.32,421.45,403.33,1,959.2,56,0,453.23,1440.94,2,812.36,5,2,98.9,Medium,1464.73,0,2021,12,0.5402576287358991,683.5099999999998,0.1322826885291182
1895,3150.47,2759.67,0.05,2711.72,0,753.0,0.16,538.51,418.16,6,689.26,52,0,748.25,1384.25,2,1101.52,8,1,8.8,Medium,390.8,0,2022,1,0.8759550162356728,2320.9199999999996,0.17093005170657077
1662,3797.06,2792.7,0.37,2453.8,0,690.0,0.34,372.48,25.42,1,1593.13,63,0,920.17,2452.58,2,1380.33,0,2,97.7,High,1004.36,0,2022,2,0.7354900897009792,1449.44,0.09809694869188268
1461,3152.89,1886.08,0.13,3334.43,0,754.0,0.54,728.33,325.3,9,988.54,61,0,329.4,1350.44,2,642.61,5,2,57.6,High,1266.81,0,2022,3,0.5982067246240751,2067.62,0.23100393607135045
1243,4953.73,3013.09,0.31,2929.87,0,651.0,0.56,1110.26,521.1,9,1472.05,88,0,517.53,1553.91,2,557.02,0,0,45.5,High,1940.64,0,2022,4,0.6082467151015498,989.2299999999998,0.22412606258314444
1894,5299.48,2460.74,0.34,3367.14,2,636.0,0.25,496.16,264.36,4,295.52,49,0,508.35,2556.54,2,1281.91,3,1,38.1,Low,2838.74,0,2022,5,0.4643361235441968,528.4000000000001,0.09362428011804932
1446,3266.25,1380.33,0.23,2511.99,1,708.0,0.19,164.61,464.44,7,1085.1,97,0,407.98,2656.32,2,720.27,3,2,99.5,Low,1885.92,0,2022,6,0.4226039035591274,626.0699999999997,0.050397244546498285
1827,3805.09,2046.66,0.38,2905.7,1,741.0,0.27,232.36,306.77,8,980.8,75,0,505.06,2657.53,2,818.8,2,2,76.2,Low,1758.43,0,2022,7,0.5378742684141505,1147.2699999999998,0.06106557269341856
1063,4695.21,4526.43,0.2,2232.93,1,746.0,0.52,149.62,1114.32,1,1174.05,86,0,721.25,1585.08,2,1277.59,6,2,4.4,High,168.78,0,2022,8,0.96405272607615,2064.1499999999996,0.03186651928241761
1579,3062.59,2374.18,0.37,2715.38,1,691.0,0.28,492.44,312.53,6,1952.76,49,0,799.8,2231.37,0,1034.37,6,1,33.3,Low,688.41,0,2022,9,0.7752196670138672,2026.9700000000003,0.1607920093776836
1866,2567.88,2611.7,0.22,3408.13,1,663.0,0.41,505.42,0.0,1,397.39,32,0,399.37,1913.29,0,1856.11,6,2,4.9,Medium,0.0,0,2022,10,1.0170646603423834,3408.13,0.1968238391202081
1737,3564.15,2364.97,0.26,2846.31,0,711.0,0.14,544.1,48.06,4,397.5,68,0,285.79,2412.89,2,930.95,5,0,53.1,Low,1199.18,0,2022,11,0.6635439024732404,1647.1299999999999,0.15265911928510303
1370,3018.3,2843.89,0.18,2417.01,1,635.0,0.36,722.82,438.22,3,997.38,71,0,687.59,2514.67,0,1535.2,9,2,7.1,High,174.41,0,2022,12,0.9422158168505449,2242.6000000000004,0.23947917702017693
1807,4385.93,2446.52,0.37,2618.46,1,718.0,0.19,608.8,249.26,9,1121.99,31,0,389.61,2473.45,2,1307.07,1,2,50.0,Medium,1939.41,0,2023,1,0.5578110001755614,679.05,0.13880750490773905
1214,3365.37,4409.87,0.28,2178.54,1,683.0,0.22,626.78,706.14,7,1014.1,54,0,315.23,2725.96,1,1455.59,2,0,52.2,Medium,0.0,0,2023,2,1.3103670621655272,2178.54,0.18624400883112407
1128,4797.98,3844.56,0.3,3441.53,1,685.0,0.18,615.87,331.69,6,665.9,83,0,783.88,2484.2,2,1231.69,0,2,89.1,Medium,953.42,0,2023,3,0.8012872083668544,2488.11,0.12836026827956767
1048,3940.12,3005.82,0.29,2963.31,1,665.0,0.37,376.16,231.16,6,700.32,46,0,347.27,2089.57,0,2043.99,8,2,54.4,Medium,934.3,0,2023,4,0.7628752423784048,2029.01,0.09546917352770982
1453,4576.18,2464.61,0.14,3021.33,2,751.0,0.56,547.0,524.2,2,1394.16,36,0,526.62,1719.7,0,418.92,8,2,12.1,High,2111.57,0,2023,5,0.538573657504731,909.7599999999998,0.11953201141563487
1386,5111.08,3601.36,0.12,2685.73,0,698.0,0.21,260.95,278.3,3,1016.3,45,0,848.56,2091.46,2,660.59,1,1,15.6,Medium,1509.72,0,2023,6,0.7046182020238384,1176.01,0.051055745556712086
1962,5514.81,2614.04,0.08,3259.67,1,703.0,0.11,809.86,28.65,3,1074.75,81,0,450.6,2559.54,0,1385.43,7,2,58.3,Medium,2900.77,0,2023,7,0.47400363747799107,358.9000000000001,0.14685184077057958
1701,3737.87,3199.86,0.31,1513.22,1,647.0,0.18,345.65,633.55,4,1414.24,74,0,611.22,2706.64,2,1378.12,5,2,25.4,Medium,538.01,0,2023,8,0.8560650851955793,975.21,0.09247245088780508
1978,2788.49,2128.48,0.19,2728.76,1,671.0,0.14,921.83,394.93,5,640.45,64,0,487.03,1893.97,0,856.72,2,2,11.4,Low,660.01,0,2023,9,0.7633091744994603,2068.75,0.3305839361087901
1410,3145.16,2220.45,0.32,3615.97,1,608.0,0.52,537.63,821.14,6,593.19,37,0,778.07,2165.56,2,1445.45,2,0,99.7,Medium,924.71,0,2023,10,0.7059895204059571,2691.2599999999998,0.17093883935952384
1389,3360.3,5853.2,0.12,3016.99,1,693.0,0.57,565.83,392.04,5,1104.14,50,0,887.86,2093.06,2,1119.7,0,2,31.7,High,0.0,0,2023,11,1.7418682855697407,3016.99,0.1683867511829301
